museum,ein,tax_year,contractor_name,compensation,services_description,source_url
Lincoln Park Zoo,362512404,2024,ILLUMINIGHT LIGHTING,566500,HOLIDAY LIGHTING DISPLAY,https://projects.propublica.org/nonprofits/organizations/362512404
Houston Zoo,741590271,2023,Bright Lights of Houston,1612290,Lighting,https://projects.propublica.org/nonprofits/organizations/741590271
Fort Worth Zoo,750991727,2024,STEPHANIE TOMMASELLO,245675,EXHIBIT FABRICATION,https://projects.propublica.org/nonprofits/organizations/750991727
Phoenix Zoo,860174843,2023,RWS ENTERTAINMENT GROUP,524310,ZOOLIGHTS CONSULTANT,https://projects.propublica.org/nonprofits/organizations/860174843
Omaha Zoo,470469782,2024,EDGE THEMED ENVIRONMENTS LLC,1340745,CONSTRUCTION,https://projects.propublica.org/nonprofits/organizations/470469782
Intrepid Museum Foundation,133062419,2024,THOMARIOS,403325,DESIGN/PAINTING SERVICES,https://projects.propublica.org/nonprofits/organizations/133062419
Intrepid Museum Foundation,133062419,2024,FLYING FISH INTERNATIONAL,310036,CREATOR OF TRAVELING EXHIBITIONS,https://projects.propublica.org/nonprofits/organizations/133062419
Fernbank Museum,586028607,2023,MuseumsPartner - Exhibition GmbH,237000,Exhibition Designer,https://projects.propublica.org/nonprofits/organizations/586028607
Fernbank Museum,586028607,2023,Contemporanea Progetti Srl,168521,exhibition designer,https://projects.propublica.org/nonprofits/organizations/586028607
Fernbank Museum,586028607,2023,Thinkwell Studio Montreal,155575,exhibition developer,https://projects.propublica.org/nonprofits/organizations/586028607
Denver Museum of Nature and Science,840518447,2024,Local Projects LLC,1932420,Exhibit Design,https://projects.propublica.org/nonprofits/organizations/840518447
COSI,314383802,2024,AMERICAN MUSEUM OF NATURAL HIS,939270,EXHIBIT LICENSES,https://projects.propublica.org/nonprofits/organizations/314383802
COSI,314383802,2024,EXPERIMENTAL MEDIA GROUP LLC (EMG),671952,EXHIBIT RENTAL/LICENSE/ROYALTIES,https://projects.propublica.org/nonprofits/organizations/314383802
National Civil Rights Museum,581484027,2025,Howard & Revis,3212980,Exhibition design,https://projects.propublica.org/nonprofits/organizations/581484027
Boston Children's Museum,042103993,2023,INTEREX,395047,EXHIBIT INSTALLATION,https://projects.propublica.org/nonprofits/organizations/042103993
Children's Museum of Houston,742178563,2023,Heartland Scenic Studio Inc,339039,Design and Consulting for new/updated exhibits,https://projects.propublica.org/nonprofits/organizations/742178563
Kansas City Zoo,436048888,2024,CHANCE RIDES,380713,TRAIN/TRAM BUILDER,https://projects.propublica.org/nonprofits/organizations/436048888
