award_id,recipient,awarding_agency,sub_agency,start_year,obligated_amount,total_award_value,award_description,project_class,fabrication_inclusive,scope_confidence,grant_program,source_url,notes
MA-10-14-0007-14,The Strong National Museum of Play,Institute of Museum and Library Services,Office of Museum Services,2014,149993,,"Museums for America (Rochester, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-14-0007-14,matched via: mfa_exhibit_fab
MA-10-14-0155-14,Muncie Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2014,150000,,"Museums for America (Muncie, IN)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-14-0155-14,matched via: mfa_exhibit_fab
MA-10-14-0186-14,American Museum of the Moving Image,Institute of Museum and Library Services,Office of Museum Services,2014,149674,,"Museums for America (Astoria, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-14-0186-14,matched via: mfa_exhibit_fab
MA-10-14-0217-14,"Museum of Science, Boston",Institute of Museum and Library Services,Office of Museum Services,2014,150000,,"Museums for America (Boston, MA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-14-0217-14,matched via: mfa_exhibit_fab
MA-10-14-0353-14,Bakken,Institute of Museum and Library Services,Office of Museum Services,2014,146000,,"Museums for America (Minneapolis, MN)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-14-0353-14,matched via: mfa_exhibit_fab
MA-10-14-0455-14,Old Salem Museums & Gardens,Institute of Museum and Library Services,Office of Museum Services,2014,150000,,"Museums for America (Winston-Salem, NC)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-14-0455-14,matched via: mfa_exhibit_fab
MA-10-15-0086-15,The Strong National Museum of Play,Institute of Museum and Library Services,Office of Museum Services,2015,149993,,"Museums for America (Rochester, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-15-0086-15,matched via: mfa_exhibit_fab
MA-10-15-0116-15,Thomas Cole Historic House,Institute of Museum and Library Services,Office of Museum Services,2015,150000,,"Museums for America (Catskill, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-15-0116-15,matched via: mfa_exhibit_fab
MA-10-15-0125-15,ScienceWorks,Institute of Museum and Library Services,Office of Museum Services,2015,146852,,"Museums for America (Winston Salem, NC)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-15-0125-15,matched via: mfa_exhibit_fab
MA-10-15-0133-15,New York Botanical Garden,Institute of Museum and Library Services,Office of Museum Services,2015,150000,,"Museums for America (Bronx, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-15-0133-15,matched via: mfa_exhibit_fab
MA-10-15-0153-15,Oregon Museum of Science and Industry,Institute of Museum and Library Services,Office of Museum Services,2015,150000,,"Museums for America (Portland, OR)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-15-0153-15,matched via: mfa_exhibit_fab
MA-10-15-0224-15,Historical Society of Western Pennsylvania,Institute of Museum and Library Services,Office of Museum Services,2015,126500,,"Museums for America (Pittsburgh, PA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-15-0224-15,matched via: mfa_exhibit_fab
MA-10-15-0316-15,Hitchcock Center for the Environment,Institute of Museum and Library Services,Office of Museum Services,2015,148587,,"Museums for America (Amherst, MA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-15-0316-15,matched via: mfa_exhibit_fab
MA-10-15-0335-15,Willa Cather Foundation,Institute of Museum and Library Services,Office of Museum Services,2015,111479,,"Museums for America (Red Cloud, NE)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-15-0335-15,matched via: mfa_exhibit_fab
MA-10-15-0432-15,Yellowstone Art Museum,Institute of Museum and Library Services,Office of Museum Services,2015,105325,,"Museums for America (Billings, MT)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-15-0432-15,matched via: mfa_exhibit_fab
MA-10-15-0450-15,Abbe Museum,Institute of Museum and Library Services,Office of Museum Services,2015,150000,,"Museums for America (Bar Harbor, ME)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-15-0450-15,matched via: mfa_exhibit_fab
MA-10-15-0454-15,Adirondack Experience,Institute of Museum and Library Services,Office of Museum Services,2015,150000,,"Museums for America (Blue Mountain Lake, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-15-0454-15,matched via: mfa_exhibit_fab
MA-10-16-0023-16,Portland Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2016,116267,,"Museums for America (Portland, OR)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-16-0023-16,matched via: mfa_exhibit_fab
MA-10-16-0158-16,Historic Annapolis Foundation,Institute of Museum and Library Services,Office of Museum Services,2016,150000,,"Museums for America (Annapolis, MD)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-16-0158-16,matched via: mfa_exhibit_fab
MA-10-16-0454-16,The Strong National Museum of Play,Institute of Museum and Library Services,Office of Museum Services,2016,149994,,"Museums for America (Rochester, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-16-0454-16,matched via: mfa_exhibit_fab
MA-10-16-0524-16,George Washington University (George Washington University Museum and Textile Museum),Institute of Museum and Library Services,Office of Museum Services,2016,133614,,"Museums for America (Washington, DC)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-16-0524-16,matched via: mfa_exhibit_fab
MA-10-17-0016-17,WOW! Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2017,33780,,"Museums for America (Lafayette, CO)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-17-0016-17,matched via: mfa_exhibit_fab
MA-10-17-0111-17,Science Center of Iowa,Institute of Museum and Library Services,Office of Museum Services,2017,161241,,"Museums for America (Des Moines, IA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-17-0111-17,matched via: mfa_exhibit_fab
MA-10-17-0167-17,Mystic Aquarium,Institute of Museum and Library Services,Office of Museum Services,2017,150000,,"Museums for America (Mystic, CT)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-17-0167-17,matched via: mfa_exhibit_fab
MA-10-17-0494-17,Zoo Knoxville,Institute of Museum and Library Services,Office of Museum Services,2017,500000,,"Museums for America (Knoxville, TN)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-17-0494-17,matched via: mfa_exhibit_fab
MA-10-17-0556-17,Museum of New Mexico Foundation (Museum of Indian Arts and Culture),Institute of Museum and Library Services,Office of Museum Services,2017,99656,,"Museums for America (Santa Fe, NM)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-17-0556-17,matched via: mfa_exhibit_fab
MA-10-18-0013-18,Boston Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2018,250000,,"Museums for America (Boston, MA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-18-0013-18,matched via: mfa_exhibit_fab
MA-10-18-0128-18,Denver Museum of Nature and Science,Institute of Museum and Library Services,Office of Museum Services,2018,249500,,"Museums for America (Denver, CO)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-18-0128-18,matched via: mfa_exhibit_fab
MA-10-19-0223-19,Natural History Museum of Los Angeles County,Institute of Museum and Library Services,Office of Museum Services,2019,250000,,"Museums for America (Los Angeles, CA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-19-0223-19,matched via: mfa_exhibit_fab
MA-10-19-0264-19,Children's Discovery Museum of San Jose,Institute of Museum and Library Services,Office of Museum Services,2019,118347,,"Museums for America (San Jose, CA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-19-0264-19,matched via: mfa_exhibit_fab
MA-10-19-0330-19,Mystic Aquarium,Institute of Museum and Library Services,Office of Museum Services,2019,225000,,"Museums for America (Mystic, CT)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-19-0330-19,matched via: mfa_exhibit_fab
MA-10-19-0373-19,Watkins Museum of History,Institute of Museum and Library Services,Office of Museum Services,2019,144187,,"Museums for America (Lawrence, KS)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-19-0373-19,matched via: mfa_exhibit_fab
MA-10-19-0488-19,Portland Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2019,250000,,"Museums for America (Portland, OR)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-19-0488-19,matched via: mfa_exhibit_fab
MA-10-19-0505-19,Kohl Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2019,130255,,"Museums for America (Glenview, IL)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-19-0505-19,matched via: mfa_exhibit_fab
MA-10-19-0576-19,James Madison's Montpelier,Institute of Museum and Library Services,Office of Museum Services,2019,129049,,"Museums for America (Montpelier Station, VA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-19-0576-19,matched via: mfa_exhibit_fab
MA-10-19-0583-19,City of Palo Alto (Palo Alto Junior Museum and Zoo),Institute of Museum and Library Services,Office of Museum Services,2019,250000,,"Museums for America (Palo Alto, CA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-19-0583-19,matched via: mfa_exhibit_fab
MA-11-16-0350-16,City of Golden (Golden History Museums),Institute of Museum and Library Services,Office of Museum Services,2016,25000,,"Museums for America (Golden, CO)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-11-16-0350-16,matched via: mfa_exhibit_fab
MA-15-19-0011-19,Oregon Jewish Museum and Center for Holocaust Education,Institute of Museum and Library Services,Office of Museum Services,2019,48425,,"Inspire! Grants for Small Museums (Portland, OR)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-15-19-0011-19,matched via: inspire_exhibit_fab; inspire_interactive
MA-15-19-0178-19,Save the Bay (Exploration Center and Aquarium),Institute of Museum and Library Services,Office of Museum Services,2019,50000,,"Inspire! Grants for Small Museums (Providence, RI)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-15-19-0178-19,matched via: inspire_exhibit_fab
MA-15-19-0193-19,"University of Wisconsin-Madison (Allen Centennial Garden, University of Wisconsin)",Institute of Museum and Library Services,Office of Museum Services,2019,50000,,"Inspire! Grants for Small Museums (Madison, WI)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-15-19-0193-19,matched via: inspire_exhibit_fab
MA-20-13-0172-13,Children's Museum of Manhattan,Institute of Museum and Library Services,Office of Museum Services,2013,145970,,"Museums for America (New York, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-20-13-0172-13,matched via: mfa_exhibit_fab
MA-20-17-0296-17,Children's Museum of Tacoma,Institute of Museum and Library Services,Office of Museum Services,2017,499994,,"Museums for America (Tacoma, WA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-20-17-0296-17,matched via: mfa_exhibit_fab
MA-245424-OMS-20,The Strong National Museum of Play,Institute of Museum and Library Services,Office of Museum Services,2020,250000,,"Museums for America (Rochester, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-245424-OMS-20,matched via: mfa_exhibit_fab
MA-245593-OMS-20,Shaker Village of Pleasant Hill,Institute of Museum and Library Services,Office of Museum Services,2020,130000,,"Museums for America (Harrodsburg, KY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-245593-OMS-20,matched via: mfa_exhibit_fab
MA-245625-OMS-20,Children's Museum of Denver,Institute of Museum and Library Services,Office of Museum Services,2020,250000,,"Museums for America (Denver, CO)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-245625-OMS-20,matched via: mfa_exhibit_fab
MA-245629-OMS-20,Creative Discovery Museum,Institute of Museum and Library Services,Office of Museum Services,2020,250000,,"Museums for America (Chattanooga, TN)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-245629-OMS-20,matched via: mfa_exhibit_fab
MA-245788-OMS-20,Brooklyn Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2020,249500,,"Museums for America (Brooklyn, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-245788-OMS-20,matched via: mfa_exhibit_fab
MA-245796-OMS-20,Arab American National Museum,Institute of Museum and Library Services,Office of Museum Services,2020,172000,,"Museums for America (Dearborn, MI)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-245796-OMS-20,matched via: mfa_exhibit_fab
MA-245937-OMS-20,Rochester Museum and Science Center,Institute of Museum and Library Services,Office of Museum Services,2020,192006,,"Museums for America (Rochester, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-245937-OMS-20,matched via: mfa_exhibit_fab
MA-249832-OMS-21,DuPage Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2021,247500,,"Museums for America (Naperville, IL)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-249832-OMS-21,matched via: mfa_exhibit_fab
MA-251382-OMS-22,North Carolina Department of Cultural Resources (Town Creek Indian Mound),Institute of Museum and Library Services,Office of Museum Services,2022,147439,,"Museums for America (Raleigh, NC)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-251382-OMS-22,matched via: mfa_exhibit_fab
MA-251517-OMS-22,DoSeum,Institute of Museum and Library Services,Office of Museum Services,2022,250000,,"Museums for America (San Antonio, TX)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-251517-OMS-22,matched via: mfa_exhibit_fab
MA-251577-OMS-22,Worcester Art Museum,Institute of Museum and Library Services,Office of Museum Services,2022,250000,,"Museums for America (Worcester, MA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-251577-OMS-22,matched via: mfa_exhibit_fab
MA-251773-OMS-22,Discovery Museum,Institute of Museum and Library Services,Office of Museum Services,2022,142211,,"Museums for America (Acton, MA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-251773-OMS-22,matched via: mfa_exhibit_fab
MA-251815-OMS-22,Morton Arboretum,Institute of Museum and Library Services,Office of Museum Services,2022,180868,,"Museums for America (Lisle, IL)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-251815-OMS-22,matched via: mfa_exhibit_fab
MA-251816-OMS-22,History Museum at the Castle,Institute of Museum and Library Services,Office of Museum Services,2022,150000,,"Museums for America (Appleton, WI)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-251816-OMS-22,matched via: mfa_exhibit_fab
MA-251859-OMS-22,Connecticut Science Center,Institute of Museum and Library Services,Office of Museum Services,2022,250000,,"Museums for America (Hartford, CT)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-251859-OMS-22,matched via: mfa_exhibit_fab
MA-251924-OMS-22,Discovery Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2022,250000,,"Museums for America (Las Vegas, NV)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-251924-OMS-22,matched via: mfa_exhibit_fab
MA-251927-OMS-22,Cincinnati Museum Center,Institute of Museum and Library Services,Office of Museum Services,2022,250000,,"Museums for America (Cincinnati, OH)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-251927-OMS-22,matched via: mfa_exhibit_fab
MA-252008-OMS-22,Exploratorium,Institute of Museum and Library Services,Office of Museum Services,2022,249878,,"Museums for America (San Francisco, CA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-252008-OMS-22,matched via: mfa_exhibit_fab
MA-252124-OMS-22,Peralta Hacienda Historical Park,Institute of Museum and Library Services,Office of Museum Services,2022,250000,,"Museums for America (Oakland, CA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-252124-OMS-22,matched via: mfa_exhibit_fab
MA-252958-OMS-23,Long Island Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2023,250000,,"Museums for America (Garden City, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-252958-OMS-23,matched via: mfa_exhibit_fab
MA-253057-OMS-23,Discovery Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2023,250000,,"Museums for America (Las Vegas, NV)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-253057-OMS-23,matched via: mfa_exhibit_fab
MA-253167-OMS-23,Abraham Lincoln Presidential Library and Museum,Institute of Museum and Library Services,Office of Museum Services,2023,250000,,"Museums for America (Springfield, IL)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-253167-OMS-23,matched via: mfa_exhibit_fab
MA-253202-OMS-23,Zoo New England,Institute of Museum and Library Services,Office of Museum Services,2023,167868,,"Museums for America (Boston, MA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-253202-OMS-23,matched via: mfa_exhibit_fab
MA-253295-OMS-23,Memphis Brooks Museum of Art,Institute of Museum and Library Services,Office of Museum Services,2023,250000,,"Museums for America (Memphis, TN)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-253295-OMS-23,matched via: mfa_exhibit_fab
MA-253353-OMS-23,Sciencenter,Institute of Museum and Library Services,Office of Museum Services,2023,248429,,"Museums for America (Ithaca, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-253353-OMS-23,matched via: mfa_exhibit_fab
MA-253423-OMS-23,Washington State Historical Society,Institute of Museum and Library Services,Office of Museum Services,2023,249500,,"Museums for America (Tacoma, WA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-253423-OMS-23,matched via: mfa_exhibit_fab
MA-253428-OMS-23,Utah Museum of Contemporary Art,Institute of Museum and Library Services,Office of Museum Services,2023,210344,,"Museums for America (Salt Lake City, UT)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-253428-OMS-23,matched via: mfa_exhibit_fab
MA-253498-OMS-23,Madison Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2023,250000,,"Museums for America (Madison, WI)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-253498-OMS-23,matched via: mfa_exhibit_fab
MA-253527-OMS-23,National Building Museum,Institute of Museum and Library Services,Office of Museum Services,2023,249590,,"Museums for America (Washington, DC)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-253527-OMS-23,matched via: mfa_exhibit_fab
MA-255428-OMS-24,Long Island Museum,Institute of Museum and Library Services,Office of Museum Services,2024,134334,,"Museums for America (Stony Brook, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-255428-OMS-24,matched via: mfa_exhibit_fab; mfa_exhibit_fabrication
MA-255534-OMS-24,Discovery Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2024,250000,,"Museums for America (Las Vegas, NV)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-255534-OMS-24,matched via: mfa_exhibit_fab; mfa_exhibit_fabrication
MA-255568-OMS-24,Baltimore Museum of Industry,Institute of Museum and Library Services,Office of Museum Services,2024,75000,,"Museums for America (Baltimore, MD)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-255568-OMS-24,matched via: mfa_exhibit_fab; mfa_exhibit_fabrication
MA-255598-OMS-24,Springfield Museums,Institute of Museum and Library Services,Office of Museum Services,2024,250000,,"Museums for America (Springfield, MA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-255598-OMS-24,matched via: mfa_exhibit_fab; mfa_exhibit_fabrication
MA-255624-OMS-24,Marbles Kids Museum,Institute of Museum and Library Services,Office of Museum Services,2024,244906,,"Museums for America (Raleigh, NC)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-255624-OMS-24,matched via: mfa_exhibit_fab; mfa_exhibit_fabrication
MA-255836-OMS-24,Children's Museum of Indianapolis,Institute of Museum and Library Services,Office of Museum Services,2024,250000,,"Museums for America (Indianapolis, IN)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-255836-OMS-24,matched via: mfa_exhibit_fab; mfa_exhibit_fabrication
MA-256058-OMS-24,Willa Cather Foundation,Institute of Museum and Library Services,Office of Museum Services,2024,250000,,"Museums for America (Red Cloud, NE)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-256058-OMS-24,matched via: mfa_exhibit_fab; mfa_exhibit_fabrication
MA-256297-OMS-24,Exploratorium,Institute of Museum and Library Services,Office of Museum Services,2024,239389,,"Museums for America (San Francisco, CA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-256297-OMS-24,matched via: mfa_exhibit_fab; mfa_exhibit_fabrication
MA-257371-OMS-25,Florida Holocaust Museum,Institute of Museum and Library Services,Office of Museum Services,2025,750000,,"Museums for America (Saint Petersburg, FL)",single_interactive,unknown,low,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-257371-OMS-25,matched via: mfa_interactive_exhibit
MA-257480-OMS-25,Atlanta Botanical Garden,Institute of Museum and Library Services,Office of Museum Services,2025,249024,,"Museums for America (Atlanta, GA)",single_interactive,unknown,low,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-257480-OMS-25,matched via: mfa_interactive_exhibit; prog_Museums_for_America
MA-257514-OMS-25,Discovery Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2025,240595,,"Museums for America (Las Vegas, NV)",single_interactive,unknown,low,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-257514-OMS-25,matched via: mfa_interactive_exhibit; mfa_new_exhibit
MA-257545-OMS-25,County of New Hanover (Cape Fear Museum of History and Science),Institute of Museum and Library Services,Office of Museum Services,2025,250000,,"Museums for America (Wilmington, NC)",single_interactive,unknown,low,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-257545-OMS-25,matched via: mfa_interactive_exhibit; mfa_new_exhibit
MA-257562-OMS-25,John Ball Zoo,Institute of Museum and Library Services,Office of Museum Services,2025,250000,,"Museums for America (Grand Rapids, MI)",single_interactive,unknown,low,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-257562-OMS-25,matched via: mfa_interactive_exhibit; mfa_new_exhibit; prog_Museums_for_America
MA-257586-OMS-25,University of Nebraska (Great Plains Art Museum),Institute of Museum and Library Services,Office of Museum Services,2025,165000,,"Museums for America (Lincoln, NE)",other,unknown,low,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-257586-OMS-25,matched via: mfa_new_exhibit; prog_Museums_for_America
MA-257689-OMS-25,Holocaust Documentation and Education Center,Institute of Museum and Library Services,Office of Museum Services,2025,499070,,"Museums for America (Dania, FL)",single_interactive,unknown,low,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-257689-OMS-25,matched via: mfa_interactive_exhibit; mfa_new_exhibit
MA-257747-OMS-25,Trumbull County Historical Society,Institute of Museum and Library Services,Office of Museum Services,2025,250000,,"Museums for America (Warren, OH)",other,unknown,low,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-257747-OMS-25,matched via: prog_Museums_for_America
MA-257939-OMS-25,North Iowa Cultural Center and Museum,Institute of Museum and Library Services,Office of Museum Services,2025,266840,,"Museums for America (Clear Lake, IA)",single_interactive,unknown,low,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-257939-OMS-25,matched via: mfa_interactive_exhibit
MA-258053-OMS-25,Fort Ticonderoga,Institute of Museum and Library Services,Office of Museum Services,2025,247584,,"Museums for America (Ticonderoga, NY)",other,unknown,low,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-258053-OMS-25,matched via: prog_Museums_for_America
MA-258120-OMS-25,Briscoe Western Art Museum,Institute of Museum and Library Services,Office of Museum Services,2025,511355,,"Museums for America (San Antonio, TX)",single_interactive,unknown,low,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-258120-OMS-25,matched via: mfa_interactive_exhibit; prog_Museums_for_America
MA-258123-OMS-25,City of Wray (Wray Museum),Institute of Museum and Library Services,Office of Museum Services,2025,250000,,"Museums for America (Wray, CO)",other,unknown,low,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-258123-OMS-25,matched via: mfa_new_exhibit
MA-258128-OMS-25,Hispanic Society Museum and Library,Institute of Museum and Library Services,Office of Museum Services,2025,377630,,"Museums for America (New York, NY)",other,unknown,low,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-258128-OMS-25,matched via: mfa_new_exhibit; prog_Museums_for_America
MA-258149-OMS-25,Allen County Museum,Institute of Museum and Library Services,Office of Museum Services,2025,105430,,"Museums for America (Lima, OH)",other,unknown,low,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-258149-OMS-25,matched via: mfa_new_exhibit; prog_Museums_for_America
MA-258274-OMS-25,Louisiana State University Agricultural Center (Burden Museum and Gardens),Institute of Museum and Library Services,Office of Museum Services,2025,198750,,"Museums for America (Baton Rouge, LA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-258274-OMS-25,matched via: mfa_exhibit_fab; mfa_exhibit_fabrication; mfa_new_exhibit; prog_Museums_for_America
MA-258326-OMS-25,Battleship Iowa Museum,Institute of Museum and Library Services,Office of Museum Services,2025,250000,,"Museums for America (San Pedro, CA)",single_interactive,unknown,low,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-258326-OMS-25,matched via: mfa_interactive_exhibit; prog_Museums_for_America
MA-258402-OMS-25,North Carolina Railroad Museum,Institute of Museum and Library Services,Office of Museum Services,2025,110487,,"Museums for America (New Hill, NC)",single_interactive,unknown,low,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-258402-OMS-25,matched via: mfa_interactive_exhibit; mfa_new_exhibit
