award_id,recipient,awarding_agency,sub_agency,start_year,obligated_amount,total_award_value,award_description,project_class,fabrication_inclusive,scope_confidence,grant_program,source_url,notes
IGSM-252970-OMS-23,Lindsay Wildlife Experience,Institute of Museum and Library Services,Office of Museum Services,2023,50000,,"Inspire! Grants for Small Museums (Walnut Creek, CA)",single_interactive,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-252970-OMS-23,matched via: inspire_interactive
IGSM-253006-OMS-23,Science Zone,Institute of Museum and Library Services,Office of Museum Services,2023,50000,,"Inspire! Grants for Small Museums (Casper, WY)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-253006-OMS-23,matched via: inspire_exhibit_fab; inspire_interactive
IGSM-253219-OMS-23,Children’s Museum of Brownsville,Institute of Museum and Library Services,Office of Museum Services,2023,50000,,"Inspire! Grants for Small Museums (Brownsville, TX)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-253219-OMS-23,matched via: inspire_exhibit_fab; inspire_interactive
IGSM-253222-OMS-23,County of Missoula (Historical Museum at Fort Missoula),Institute of Museum and Library Services,Office of Museum Services,2023,50000,,"Inspire! Grants for Small Museums (Missoula, MT)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-253222-OMS-23,matched via: inspire_exhibit_fab
IGSM-253327-OMS-23,Historic Cherry Hill,Institute of Museum and Library Services,Office of Museum Services,2023,50000,,"Inspire! Grants for Small Museums (Albany, NY)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-253327-OMS-23,matched via: inspire_exhibit_fab
IGSM-255458-OMS-24,Western Museum of Mining & Industry,Institute of Museum and Library Services,Office of Museum Services,2024,25000,,"Inspire! Grants for Small Museums (Colorado Springs, CO)",single_interactive,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-255458-OMS-24,matched via: inspire_interactive
IGSM-255580-OMS-24,Delaware Agricultural Museum and Village,Institute of Museum and Library Services,Office of Museum Services,2024,75000,,"Inspire! Grants for Small Museums (Dover, DE)",single_interactive,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-255580-OMS-24,matched via: inspire_interactive
IGSM-255676-OMS-24,Tomaquag Museum,Institute of Museum and Library Services,Office of Museum Services,2024,34200,,"Inspire! Grants for Small Museums (Exeter, RI)",single_interactive,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-255676-OMS-24,matched via: inspire_interactive
IGSM-255683-OMS-24,Coastal Interpretive Center,Institute of Museum and Library Services,Office of Museum Services,2024,24949,,"Inspire! Grants for Small Museums (Ocean Shores, WA)",single_interactive,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-255683-OMS-24,matched via: inspire_interactive
IGSM-255743-OMS-24,Children's Museum of Green Bay,Institute of Museum and Library Services,Office of Museum Services,2024,25000,,"Inspire! Grants for Small Museums (Green Bay, WI)",single_interactive,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-255743-OMS-24,matched via: inspire_interactive
IGSM-255820-OMS-24,Whaling Museum,Institute of Museum and Library Services,Office of Museum Services,2024,75000,,"Inspire! Grants for Small Museums (Cold Spring Harbor, NY)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-255820-OMS-24,matched via: inspire_exhibit_fab
IGSM-255828-OMS-24,Great Explorations Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2024,25000,,"Inspire! Grants for Small Museums (St. Petersburg, FL)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-255828-OMS-24,matched via: inspire_exhibit_fab; inspire_interactive
